Date,Monticello,Monticello_10,Monticello_30,Decatur_IEPA,Decatur_IEPA_10,Decatur_IEPA_30,Decatur_SDD,Decatur_SDD_10,Decatur_SDD_30,Stevens_Creek,Stevens_Creek_10,Stevens_Creek_30,Wyckles,Wyckles_10,Wyckles_30,Decatur_conc
2003-01-01,,,,,,,,,,,,,,,,
2003-01-02,,,,,,,,,,,,,,,,
2003-01-03,,,,,,,,,,,,,,,,
2003-01-04,,,,,,,,,,,,,,,,
2003-01-05,,,,,,,,,,,,,,,,
2003-01-06,,,,0.00095354,,,,,,,,,,,,6
2003-01-07,,,,,,,,,,,,,,,,
2003-01-08,,,,,,,,,,,,,,,,
2003-01-09,,,,,,,,,,,,,,,,
2003-01-10,,,,,,,,,,,,,,,,
2003-01-11,,,,,,,,,,,,,,,,
2003-01-12,,,,,,,,,,,,,,,,
2003-01-13,,,,,,,,,,,,,,,,
2003-01-14,,,,,,,,,,,,,,,,
2003-01-15,,,,,,,,,,,,,,,,
2003-01-16,,,,,,,,,,,,,,,,
2003-01-17,,,,,,,,,,,,,,,,
2003-01-18,,,,,,,,,,,,,,,,
2003-01-19,,,,,,,,,,,,,,,,
2003-01-20,,,,,,,,,,,,,,,,
2003-01-21,,,,,,,,,,,,,,,,
2003-01-22,,,,,,,,,,,,,,,,
2003-01-23,,,,,,,,,,,,,,,,
2003-01-24,,,,,,,,,,,,,,,,
2003-01-25,,,,,,,,,,,,,,,,
2003-01-26,,,,,,,,,,,,,,,,
2003-01-27,,,,,,,,,,,,,,,,
2003-01-28,,,,,,,,,,,,,,,,
2003-01-29,,,,,,,,,,,,,,,,
2003-01-30,,,,,,,,,,,,,,,,
2003-01-31,,,,,,,,,,,,,,,,
2003-02-01,,,,,,,,,,,,,,,,
2003-02-02,,,,,,,,,,,,,,,,
2003-02-03,,,,,,,,,,,,,,,,
2003-02-04,,,,,,,,,,,,,,,,
2003-02-05,,,,,,,,,,,,,,,,
2003-02-06,,,,,,,,,,,,,,,,
2003-02-07,,,,,,,,,,,,,,,,
2003-02-08,,,,,,,,,,,,,,,,
2003-02-09,,,,,,,,,,,,,,,,
2003-02-10,,,,,,,,,,,,,,,,
2003-02-11,,,,,,,,,,,,,,,,3
2003-02-12,,,,,,,,,,,,,,,,
2003-02-13,,,,,,,,,,,,,,,,
2003-02-14,,,,,,,,,,,,,,,,
2003-02-15,,,,,,,,,,,,,,,,
2003-02-16,,,,,,,,,,,,,,,,
2003-02-17,,,,,,,,,,,,,,,,
2003-02-18,,,,,,,,,,,,,,,,
2003-02-19,,,,,,,,,,,,,,,,
2003-02-20,,,,,,,,,,,,,,,,
2003-02-21,,,,,,,,,,,,,,,,
2003-02-22,,,,,,,,,,,,,,,,
2003-02-23,,,,,,,,,,,,,,,,
2003-02-24,,,,,,,,,,,,,,,,
2003-02-25,,,,,,,,,,,,,,,,
2003-02-26,,,,,,,,,,,,,,,,
2003-02-27,,,,,,,,,,,,,,,,
2003-02-28,,,,,,,,,,,,,,,,
2003-03-01,,,,,,,,,,,,,,,,
2003-03-02,,,,,,,,,,,,,,,,
2003-03-03,,,,,,,,,,,,,,,,
2003-03-04,,,,,,,,,,,,,,,,
2003-03-05,,,,,,,,,,,,,,,,
2003-03-06,,,,,,,,,,,,,,,,
2003-03-07,,,,,,,,,,,,,,,,
2003-03-08,,,,,,,,,,,,,,,,
2003-03-09,,,,,,,,,,,,,,,,
2003-03-10,,,,,,,,,,,,,,,,
2003-03-11,,,,,,,,,,,,,,,,
2003-03-12,,,,,,,,,,,,,,,,
2003-03-13,,,,,,,,,,,,,,,,
2003-03-14,,,,,,,,,,,,,,,,
2003-03-15,,,,,,,,,,,,,,,,
2003-03-16,,,,,,,,,,,,,,,,
2003-03-17,,,,,,,,,,,,,,,,
2003-03-18,,,,,,,,,,,,,,,,
2003-03-19,,,,,,,,,,,,,,,,
2003-03-20,10.88925157,,,,,,,,,,,,,,,
2003-03-21,,,,,,,,,,,,,,,,
2003-03-22,,,,,,,,,,,,,,,,
2003-03-23,,,,,,,,,,,,,,,,
2003-03-24,,,,,,,,,,,,,,,,
2003-03-25,,,,,,,,,,,,,,,,18
2003-03-26,,,,,,,,,,,,,,,,
2003-03-27,,,,,,,,,,,,,,,,
2003-03-28,,,,,,,,,,,,,,,,
2003-03-29,,,,,,,,,,,,,,,,
2003-03-30,,,,,,,,,,,,,,,,
2003-03-31,,,,,,,,,,,,,,,,
2003-04-01,,,,,,,,,,,,,,,,
2003-04-02,,,,,,,,,,,,,,,,
2003-04-03,,,,,,,,,,,,,,,,
2003-04-04,,,,,,,,,,,,,,,,
2003-04-05,,,,,,,,,,,,,,,,
2003-04-06,,,,,,,,,,,,,,,,
2003-04-07,,,,,,,,,,,,,,,,
2003-04-08,,,,,,,,,,,,,,,,
2003-04-09,,,,,,,,,,,,,,,,
2003-04-10,,,,,,,,,,,,,,,,
2003-04-11,,,,,,,,,,,,,,,,
2003-04-12,,,,,,,,,,,,,,,,
2003-04-13,,,,,,,,,,,,,,,,
2003-04-14,,,,,,,,,,,,,,,,
2003-04-15,,,,,,,,,,,,,,,,
2003-04-16,,,,,,,,,,,,,,,,
2003-04-17,42.6360315,,42.6360315,,,,,,,,,,,,,
2003-04-18,,,,,,,,,,,,,,,,
2003-04-19,,,,,,,,,,,,,,,,
2003-04-20,,,,,,,,,,,,,,,,
2003-04-21,,,,,,,,,,,,,,,,
2003-04-22,,,,,,,,,,,,,,,,
2003-04-23,,,,,,,,,,,,,,,,
2003-04-24,,,,,,,,,,,,,,,,
2003-04-25,,,,,,,,,,,,,,,,
2003-04-26,,,,,,,,,,,,,,,,
2003-04-27,,,,,,,,,,,,,,,,
2003-04-28,,,,,,,,,,,,,,,,
2003-04-29,,,,,,,,,,,,,,,,
2003-04-30,,,,,,,,,,,,,,,,
2003-05-01,,,,,,,,,,,,,,,,16
2003-05-02,,,,,,,,,,,,,,,,
2003-05-03,,,,,,,,,,,,,,,,
2003-05-04,,,,,,,,,,,,,,,,
2003-05-05,,,,,,,,,,,,,,,,
2003-05-06,,,,,,,,,,,,,,,,
2003-05-07,,,,,,,,,,,,,,,,
2003-05-08,,,,,,,,,,,,,,,,
2003-05-09,,,,,,,,,,,,,,,,
2003-05-10,,,,,,,,,,,,,,,,
2003-05-11,,,,,,,,,,,,,,,,
2003-05-12,,,,,,,,,,,,,,,,
2003-05-13,,,,,,,,,,,,,,,,
2003-05-14,,,,,,,,,,,,,,,,
2003-05-15,,,,,,,,,,,,,,,,
2003-05-16,,,,,,,,,,,,,,,,
2003-05-17,,,,,,,,,,,,,,,,
